consumer_complaint_narrative,product,issue,company_name,date_received,clean_text,word_count,lda_topic,nmf_topic
I am getting letters from Enhanced Recovery Company saying I owe {$86000.00} to XXXX. I am now getting phone calls about this. I have never had XXXX and it 's not anywhere in my area.,Debt collection,Cont'd attempts collect debt not owed,ERC,5/17/2015,getting letters from enhanced recovery company saying owe now getting phone calls about this have never had and not anywhere area,21,1,5
For the last 12 months XXXX has been selling this account to various collection agencies. XXXX of them to be exact. I do not owe XXXX anything. I had service with them and I paid my bill then closed my account. I then had service with another company. XXXX came and picked up the equipment and gave me a receipt. First XXXX claimed that I owed the amount for the equipment then I produced the the receipt. For the past 12 months they claim its for service. I produced the bill for the new cable company with the installation date on it. With each collection agency they change the XXXX account number but the amount is the same {$1400.00}. The last agency added XXXX cents. It has been added to my credit report at least 5-7 times. This harassment has to stop. I ended my service with XXXX XX/XX/2014. No early termination fees. No last bill. My balance was {$0.00} before I disconnected my service.,Debt collection,Cont'd attempts collect debt not owed,ERC,10/31/2016,for the last months has been selling this account various collection agencies them exact not owe anything had service with them and paid bill then closed account then had service with another company came and picked the equipment and gave receipt first claimed that owed the amount for the equipment then produced the the receipt for the past months they claim its for service produced the bill for the new cable company with the installation date with each collection agency they change the account number but the amount the same the last agency added cents has been added credit report least times this harassment has stop ended service with early termination fees last bill balance was before disconnected service,119,3,1
XXXX has put me in collection for a debt that I do not owe. They have never sent any outstanding balance info and never contacted me once about any unpaid debts. I do not have an account with Enhanced Recovery Corp and do not owe them any money.,Debt collection,Cont'd attempts collect debt not owed,ERC,3/21/2017,has put collection for debt that not owe they have never sent any outstanding balance info and never contacted once about any unpaid debts not have account with enhanced recovery corp and not owe them any money,37,1,5
"This debt is not known to me. I recently requested my XXXX Credit reports to access my credit history in order to establish why my attempts to acquire credit results in a denial. I have always made it a duty to diligently address any issues before it became a collection and have not opened any new accounts in the past ( XXXX ) years. I request full validation from the crediting or reporting company. This request is for more than just a simple statement without detail. Rather, I must requisition a careful documentation, including statements, contracts, copies of checks, and any other pertinent information.",Debt collection,Cont'd attempts collect debt not owed,ERC,6/6/2015,this debt not known recently requested credit reports access credit history order establish why attempts acquire credit results denial have always made duty diligently address any issues before became collection and have not opened any new accounts the past years request full validation from the crediting reporting company this request for more than just simple statement without detail rather must requisition careful documentation including statements contracts copies checks and any other pertinent information,73,2,4
"On XXXX XXXX, 2015 I mailed a letter requesting Enhanced Recovery forward proof that this debt belongs to me. 

On today XXXX XXXX, 2015 Enhanced Recovery still has not responded to my request. 

According to my rights under the Fair Credit Reporting Act Enhanced recovery had 30 days to respond to my request, however they did not.",Debt collection,Cont'd attempts collect debt not owed,ERC,8/24/2015,mailed letter requesting enhanced recovery forward proof that this debt belongs today enhanced recovery still has not responded request according rights under the fair credit reporting act enhanced recovery had days respond request however they did not,37,2,3
"On XXXX, XXXX XXXX, 2015 at XXXX EDT, a debt collection agency called Enhanced Recovery Company ( ERC ), based out of XXXX XXXX Florida , XXXX tried to contact me with a robocall. The robocall did not address me by name and instead gave me a XXXX number to call and also gave me a XXXX-digit reference number. I did not have a pen handy and the information was given only XXXX before disconnecting. I checked my caller ID and it said "" private number, '' so I had no one to call back and did nothing at the time. I received a XXXX robocall from ERC on XXXX, XXXX XXXX, 2015 at XXXX EDT, this time the XXXX appeared on my caller ID. I was told to call XXXX and given a XXXX-digit reference number. I called the number demanding to know why they 're calling me since I know I do n't owe anybody anything. They asked me if my name was the person they 're trying to collect a debt from. I said no and that I did n't know this person. They apologized and promised to remove my home land line number from their list so presumably they wo n't call me again.",Debt collection,Cont'd attempts collect debt not owed,ERC,4/16/2015,edt debt collection agency called enhanced recovery company erc based out florida tried contact with robocall the robocall did not address name and instead gave number call and also gave digit reference number did not have pen handy and the information was given only before disconnecting checked caller and said private number had one call back and did nothing the time received robocall from erc edt this time the appeared caller was told call and given digit reference number called the number demanding know why they calling since know owe anybody anything they asked name was the person they trying collect debt from said and that did know this person they apologized and promised remove home land line number from their list presumably they call again,126,4,5
Enhanced Recovery Corp is reporting XXXX accounts on my credit report that do not belong to me. I have disputed these items several times. I have submitted fraud affidavits. In dealing with other companies I became aware that I must have been the victim of identity theft. A look-up of my names generates several different name and social security number combinations. I am requesting that Enhanced Recovery Corp delete accounts XXXX for {$1500.00} and XXXX for {$200.00} from my credit reports with all of the national credit reporting agencies. I would like this company to also cease all contact with me regarding these accounts that do not belong to me.,Debt collection,Cont'd attempts collect debt not owed,ERC,4/29/2015,enhanced recovery corp reporting accounts credit report that not belong have disputed these items several times have submitted fraud affidavits dealing with other companies became aware that must have been the victim identity theft look names generates several different name and social security number combinations requesting that enhanced recovery corp delete accounts for and for from credit reports with all the national credit reporting agencies would like this company also cease all contact with regarding these accounts that not belong,80,2,2
"This company continues to report on my credit report after I sent them a letter telling them that this account was not mine and I have no idea what it is or who it belongs to! 

I asked for proof of a signed contract, I asked for a license to collect in my state, I asked for copies of all information referenced for this debt and still to date, I have not received anything but harassment from this company! 

THIS IS NOT MY DEBT! 

I WANT THIS ACCOUNT REMOVED FROM MY CREDIT REPORT AND THIS COMPANY TO STOP CONTACTING ME IMMEDIATELY!",Debt collection,Cont'd attempts collect debt not owed,ERC,6/24/2015,this company continues report credit report after sent them letter telling them that this account was not mine and have idea what who belongs asked for proof signed contract asked for license collect state asked for copies all information referenced for this debt and still date have not received anything but harassment from this company this not debt want this account removed from credit report and this company stop contacting immediately,71,1,3
"i had an account with XXXX I opened with my daughter in XX/XX/XXXX. I purchased XXXX phones. In XX/XX/XXXX, I paid off the phones and cancelled my service and left my daughter on the T-mobile account. She was paying the bill. The bills were forwarded to HER home in N.C. and she was paying them. Around XX/XX/XXXX, my daughter purchased a 2 YEAR contract w/an XXXX. I was contacted when she wanted to purchase the XXXX and I told XXXX I was no longer the owner of the account again. They again removed me from the account, approved my daughter for the XXXX and I thought that was the end of it. Then I stopped receiving my mail all together, and discovered a change of address had been put in for me so I called the Post Office and had my mail switched back to my home and I discovered XXXX was charging me for 'something ', so I called and told them I did n't have an account. They said they fix it and again I thought they 'd figure it out. I confirmed with my daughter that she was paying her bill because I continued to get bills saying my account was over due, but she assured me she was paying, so I ignored it, and figured we were just being double billed. Finally in XX/XX/XXXX I received a collection notice, when I called I was told it was for an XXXX. It turns out that XXXX was billing me for her XXXX and billing my daughter only for phone service. They were trying to hold me accountable for her purchasing the phone but were billing her for the monthly service. I called several times with my contract showing I never authorized anyone other than myself to purchase or use my account. While this point is moot as I cancelled my account in XX/XX/XXXX. There are numerous calls from me cancelling the account, and my daughter opening an account. The account my daughter opened was a special account that allowed for a two year contract with the purchase of an iphone. XXXX used my credit to give her an XXXX. I spoke with several representative there, and my daughter does n't have a problem paying for the XXXX under the terms she thought she was agreeing to, i..e a two year plan which included the price of an XXXX. I am not responsible. Further I should n't be in collections. I called this evening after having been promised that I would be removed from collections, the outstanding balance would be transferred back to my daughter 's account, she could pay over the term of her contract as it was stated and that my credit report would be corrected. Now, I 'm being told by XXXX that they ca n't do it. It 's been too long they are n't resposible.",Debt collection,Cont'd attempts collect debt not owed,ERC,1/12/2016,had account with opened with daughter purchased phones paid off the phones and cancelled service and left daughter the mobile account she was paying the bill the bills were forwarded her home and she was paying them around daughter purchased year contract was contacted when she wanted purchase the and told was longer the owner the account again they again removed from the account approved daughter for the and thought that was the end then stopped receiving mail all together and discovered change address had been put for called the post office and had mail switched back home and discovered was charging for something called and told them did have account they said they fix and again thought they figure out confirmed with daughter that she was paying her bill because continued get bills saying account was over due but she assured she was paying ignored and figured were just being double billed finally received collection notice when called was told was for turns out that was billing for her and billing daughter only for phone service they were trying hold accountable for her purchasing the phone but were billing her for the monthly service called several times with contract showing never authorized anyone other than myself purchase use account while this point moot cancelled account there are numerous calls from cancelling the account and daughter opening account the account daughter opened was special account that allowed for two year contract with the purchase iphone used credit give her spoke with several representative there and daughter does have problem paying for the under the terms she thought she was agreeing two year plan which included the price not responsible further should collections called this evening after having been promised that would removed from collections the outstanding balance would transferred back daughter account she could pay over the term her contract was stated and that credit report would corrected now being told that they been too long they are resposible,329,2,1
I received a letter from this company demanding payment for a debt that is not mine. This is the XXXX debt collector that has sent me a demand for payment concerning this alleged account,Debt collection,Cont'd attempts collect debt not owed,ERC,1/6/2016,received letter from this company demanding payment for debt that not mine this the debt collector that has sent demand for payment concerning this alleged account,26,4,3
"XXXX Attention : XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX Re. : XXXX Dispute # XXXX Please note that this is in reference to account number XXXX pertaining to then phone XXXX for XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX XXXX. As you will see from the documents enclosed I was incarcerated on XXXX XXXX, XXXX, at approximately XXXX and was not released until XXXX XXXX, XXXX. I am therefore rightfully disputing the {$600.00} XXXX claims that I owe them from billing for their services since just prior to my incarceration date I had already paid my last bill. I was not free in society to have been able to utilize XXXX 's services beyond then and I should not have been continued to be billed after the first payment beyond XXXX XXXX, XXXX, failed to be paid by me due to being incarcerated. 
I also want this erroneous debt claimed to be owed removed by XXXX from my Credit Reports. Although the erred referenced had been previously taken out from my Credit Reports upon XXXX having been notified of their error soon as I was released, recently on XXXX XXXX, XXXX, for some reason it was placed back on there and fraudulently claimed that it was a debt as of XXXX XXXX, XXXX. Despite this debt claimed being over almost six years olds well. 
I previously wrote about this matter after being released and learning of the above but have yet to hear anything, nor was I called regarding the investigation of this Dispute although I was told that I would be before any decision would be had. 
In sum, your time and expedient help in the resolution of this matter will be greatly appreciated. 
Cordially, XXXX XXXX",Debt collection,Cont'd attempts collect debt not owed,ERC,1/3/2017,attention dispute please note that this reference account number pertaining then phone for you will see from the documents enclosed was incarcerated approximately and was not released until therefore rightfully disputing the claims that owe them from billing for their services since just prior incarceration date had already paid last bill was not free society have been able utilize services beyond then and should not have been continued billed after the first payment beyond failed paid due being incarcerated also want this erroneous debt claimed owed removed from credit reports although the erred referenced had been previously taken out from credit reports upon having been notified their error soon was released recently for some reason was placed back there and fraudulently claimed that was debt despite this debt claimed being over almost six years olds well previously wrote about this matter after being released and learning the above but have yet hear anything nor was called regarding the investigation this dispute although was told that would before any decision would had sum your time and expedient help the resolution this matter will greatly appreciated cordially,185,3,1
"Collections Show All Dispute Options A collection is an account that has been turned over to a collection agency by one of your creditors because they believe the account has not been paid as agreed. ENHANCED RECOVERY COMPANY Dispute Item Agency Address : XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX Date Reported : XXXX Date Assigned : XXXX Creditor Classification : Cable/Cellular Creditor Name : XXXX Account Number : XXXX Account Owner : Individual Account. Original Amount Owned : {$400.00} Date of XXXX XXXX Delinquency : XXXX Balance Date : XXXX Balance Owned : {$400.00} Last Payment Date : Status Date : XXXX Status : D - Unpaid Comments : N/A Continue Dispute Summary XXXX XXXX XXXX for : XXXX XXXX As of Date : XX/XX/XXXX Personal Information Accounts Negative Information Inquiries Copyright ( C ) XX/XX/XXXX XXXX XXXX",Debt collection,Cont'd attempts collect debt not owed,ERC,3/24/2015,collections show all dispute options collection account that has been turned over collection agency one your creditors because they believe the account has not been paid agreed enhanced recovery company dispute item agency address date reported date assigned creditor classification cable cellular creditor name account number account owner individual account original amount owned date delinquency balance date balance owned last payment date status date status unpaid comments continue dispute summary for date personal information accounts negative information inquiries copyright,79,3,4
"We received a bill from "" ERC '' ( the only identification on the bill, no other heading on the bill ) collecting on a bill from XXXX XXXX XXXX ( XXXX ). We have lived in the same house for over 30 years and have never had XXXX. The bill was for {$190.00} Called ERC, they referred me to XXXX. Quite clearly through the conversation with XXXX, this account was not associated with us, except that the first and last name of the delinquent consumer was the same as my husband. XXXX told me that I needed to file an identity theft report with the police and a notarized affidavit regarding not receiving services. In other words, a half day 's work. The entity that had stolen my husband 's identity in this scenario was ERC. 

While on hold, I googled the name and found an obituary for someone with the same first and last named in the correct city where the service was provided ( which the XXXX rep has disclosed ). 

ERCs apparent practice is to mail a bill to someone with the same name as the delinquent account in hopes that they will simply pay the bill. To me, this seems the same as "" phishing '' using the USPS rather than the internet. It seems like fraud to me.",Debt collection,Cont'd attempts collect debt not owed,ERC,8/2/2016,received bill from erc the only identification the bill other heading the bill collecting bill from have lived the same house for over years and have never had the bill was for called erc they referred quite clearly through the conversation with this account was not associated with except that the first and last name the delinquent consumer was the same husband told that needed file identity theft report with the police and notarized affidavit regarding not receiving services other words half day work the entity that had stolen husband identity this scenario was erc while hold googled the name and found obituary for someone with the same first and last named the correct city where the service was provided which the rep has disclosed ercs apparent practice mail bill someone with the same name the delinquent account hopes that they will simply pay the bill this seems the same phishing using the usps rather than the internet seems like fraud,161,4,2
"Upon review of my credit report from XXXX I noticed a collection account from Enhanced Recovery Co XXXX stating an amount of {$360.00} is owed. After contacting the listed bureaus I was informed to contact the reporting agency. Enhanced Recovery Co XXXX was contacted via certified mail requesting validity of this account. XXXX XXXX validation letter was signed and delivered on XXXX XXXX, 2016. Enhanced Recovery Co XXXX has yet to respond with proper documents bearing my signature. I have contract with this company nor the company they are representing. I request this collection is DELETED and REMOVED from all reporting credit bureaus.",Debt collection,Cont'd attempts collect debt not owed,ERC,10/3/2016,upon review credit report from noticed collection account from enhanced recovery stating amount owed after contacting the listed bureaus was informed contact the reporting agency enhanced recovery was contacted via certified mail requesting validity this account validation letter was signed and delivered enhanced recovery has yet respond with proper documents bearing signature have contract with this company nor the company they are representing request this collection deleted and removed from all reporting credit bureaus,74,2,3
"The debt has been addressed, discussed, settled and disputed with client and XXXX other collection agencies. It is agreed that debt should no longer be collected for reasons stated previously. 

Dispute of Reference No. XXXX | Client Acct # XXXX Enhanced Recovery Company, XXXX XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX",Debt collection,Cont'd attempts collect debt not owed,ERC,7/19/2016,the debt has been addressed discussed settled and disputed with client and other collection agencies agreed that debt should longer collected for reasons stated previously dispute reference client acct enhanced recovery company,32,3,1
"On XXXX XXXX, 2015 I received a notice in the mail from Enhanced Recovery Company , LLC stating that they were collecting a balance of {$710.00} that I owed on a XXXX account. I called this company at XXXX and spoke to XXXX XXXX, who verified my demographic information and social security number. I told her that I never had a XXXX account. She then told me I needed to complete a fraud package which she mailed to me. I went to the police to file a report on this. The PA state police called XXXX and verified that I never had a XXXX account. The Officer informed me that this collection agency is a fraud as the XXXX logo on the paperwork they sent me was counterfeit. I was advised to report this incident to FTC who referred me to this web site.",Debt collection,Cont'd attempts collect debt not owed,ERC,7/29/2015,received notice the mail from enhanced recovery company llc stating that they were collecting balance that owed account called this company and spoke who verified demographic information and social security number told her that never had account she then told needed complete fraud package which she mailed went the police file report this the state police called and verified that never had account the officer informed that this collection agency fraud the logo the paperwork they sent was counterfeit was advised report this incident ftc who referred this web site,90,3,1
"I recently pulled my credit report and noticed an inquiry on my report without my permissible use. According to the FCRA and the FDCPA, it should be removed. However, I have sent in continuous dispute letters obtaining all information needed to remove this inquiry. This inquiry is affecting my chances of establishing a great history with the current company. The name of the inquiry is ENHANCED RECOVERY CO L. The inquiry date is XX/XX/2021. The bureau reporting is XXXX. Thank you!",Debt collection,Attempts to collect debt not owed,ERC,7/8/2021,recently pulled credit report and noticed inquiry report without permissible use according the fcra and the fdcpa should removed however have sent continuous dispute letters obtaining all information needed remove this inquiry this inquiry affecting chances establishing great history with the current company the name the inquiry enhanced recovery the inquiry date the bureau reporting thank you,57,1,4
"Got an alert that an account was in collections from XXXX for {$500.00}. This doesnt belong to me. Ive never owed them money. I was once on a plan with XXXX with another person however I wasnt the primary, he was. This means that all balances were to be paid by him and he would take any penalties. Also I am currently using XXXX so I do not understand why they would let me obtain an account with them if I owe them money. Also received letters years ago with different amounts that I supposedly owe them. For this reasons I believe they are being dishonest and deceiving. Also someone called before a year ago to collect a debt and I paid them so they would leave me alone",Debt collection,Attempts to collect debt not owed,ERC,12/21/2018,got alert that account was collections from for this doesnt belong ive never owed them money was once plan with with another person however wasnt the primary was this means that all balances were paid him and would take any penalties also currently using not understand why they would let obtain account with them owe them money also received letters years ago with different amounts that supposedly owe them for this reasons believe they are being dishonest and deceiving also someone called before year ago collect debt and paid them they would leave alone,94,1,5
"XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX ( XXXX ) XXXX Requested On : XX/XX/XXXX/ last update XX/XX/XXXX bought the {$170.00} Original Creditor : XXXX XXXX ( Cable/Cellular ) from this other collection co : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX , XXXX XXXX ( XXXX ) XXXX Requested On : XX/XX/XXXX Permissible Purpose : COLLECTION : this alleged account has been past from one COLLECTION co 's to another for the last 7 to 8 years I have never had an account with XXXX XXXX nor have I never received and invoice on what the XXXX is for or any breakdown- I have been pushed to the max and will start treatment theses COLLECTION Co as a Hostile attacks on my personal Character and my personal financial goals - as of yesterday I receive notice from two Credit cards- that I have had open with great out standing credit starting from XX/XX/XXXX : this notice was that my FICA had falling over night fromXXXX to XXXX nothing has changed on my credit reports from all three over the last year - XXXX XXXX XXXX has been calling for 6 /7 months I have informed them to cease and assist- however they continue to call and view my reports on all three credit reporting co. every month as XXXX was the primary reporter by my Credit cards I called then and pulled my report - I asked them why did my FICA dropped 100 point over night - the person XXXX said I can tell you that without you payment money first- I said what this was a Negv report and they should give me every thing that has cursed my FICA to fall 100 point instead of helping me Collection companies can report anything they want there's nothing I can do about it- but he will be happy to file a dispute I told him I have filed many disputed about this account and it gets sold off to a new CO and it start all over again theses actions are considered bad faith and Federal intervention should be taking : I could pay this at any time but I will never give in to theses Fraudulent COLLECTION co 's",Debt collection,Attempts to collect debt not owed,ERC,5/24/2018,requested last update bought the original creditor cable cellular from this other collection requested permissible purpose collection this alleged account has been past from one collection another for the last years have never had account with nor have never received and invoice what the for any breakdown have been pushed the max and will start treatment theses collection hostile attacks personal character and personal financial goals yesterday receive notice from two credit cards that have had open with great out standing credit starting from this notice was that fica had falling over night fromxxxx nothing has changed credit reports from all three over the last year has been calling for months have informed them cease and assist however they continue call and view reports all three credit reporting every month was the primary reporter credit cards called then and pulled report asked them why did fica dropped point over night the person said can tell you that without you payment money first said what this was negv report and they should give every thing that has cursed fica fall point instead helping collection companies can report anything they want there nothing can about but will happy file dispute told him have filed many disputed about this account and gets sold off new and start all over again theses actions are considered bad faith and federal intervention should taking could pay this any time but will never give theses fraudulent collection,240,1,4
"THE COMPANY, ENHANCED RECOVERY COMPANY LLC PURCHASED A DEBT FROM ANOTHER COMPANY AND I HAD NO INVOLVEMENT WITH THE TRANSACTION. ACCORDING TO 15 USC 3002 I AM A NATURAL PERSON WHICH MEANS MY NAME IN ALL CAPS IS NOT ME. MY NAME IS XXXX XXXX. 15 USC 1692 ( A ) ( 1 ) The term "" Bureau '' means the Bureau of consumer Financial Protection. XXXX, XXXX, XXXX and XXXX are assumed to be credit bureaus and there is only one Bureau and that is the Consumer Financial protection Bureau. On XX/XX/XXXX XXXX congress enacted HJR-192 to suspend the gold standard and to abrogate the gold clause. This resolution declared that "" whereas '' the holding or dealing in gold affect the public interest, and are therefore subject to proper regulation and restriction ; and whereas the existing emergency has disclosed that provisions of obligations which purport to give the obligee a right to require payment in gold or a particular kind of coin or currency are inconsistent with the declared policy of congress in the payment of debts. This resolution declared that any obligation requiring "" payment in gold or a particular kind of coin or currency, or in an amount in money policy ; and every obligation heretofore or hereafter incurred, shall be discharged upon payment, dollar for dollar in any coin or currency which at the time of payment is legal tender for public and private debts. 15 USC 1681 ( 3 ) ( e ). The term "" investigative consumer report '' means a consumer report or portion thereof in which information on a consumer 's character, general reputation, personal characteristics or mode of living is obtained through personal interviews with neighbors, friends, or associates of the consumer reported on or with others with whom he is acquainted or who may have knowledge concerning any such information.",Debt collection,Attempts to collect debt not owed,ERC,11/16/2021,the company enhanced recovery company llc purchased debt from another company and had involvement with the transaction according usc natural person which means name all caps not name usc the term bureau means the bureau consumer financial protection and are assumed credit bureaus and there only one bureau and that the consumer financial protection bureau congress enacted hjr suspend the gold standard and abrogate the gold clause this resolution declared that whereas the holding dealing gold affect the public interest and are therefore subject proper regulation and restriction and whereas the existing emergency has disclosed that provisions obligations which purport give the obligee right require payment gold particular kind coin currency are inconsistent with the declared policy congress the payment debts this resolution declared that any obligation requiring payment gold particular kind coin currency amount money policy and every obligation heretofore hereafter incurred shall discharged upon payment dollar for dollar any coin currency which the time payment legal tender for public and private debts usc the term investigative consumer report means consumer report portion thereof which information consumer character general reputation personal characteristics mode living obtained through personal interviews with neighbors friends associates the consumer reported with others with whom acquainted who may have knowledge concerning any such information,209,5,3
On XX/XX/XXXX I mailed the debt collector ( Enhanced Recovery LLC ) a debt validation letter. I have not yet received any communication from them. They are still reporting the debt to the credit Bureaus. On XX/XX/XXXX which is the deadline for Their 30-day validation window. If I do not receive a proper debt validation that proves they are legitimate owners of the debt along with a signed contract or official document where I stated I am taking on the debt. Then I would like the collection taken off all credit reports and stopped being pursued in my name as is my right under the Fair Debt Collections Practices Act ( FDCPA ).,Debt collection,Attempts to collect debt not owed,ERC,10/21/2022,mailed the debt collector enhanced recovery llc debt validation letter have not yet received any communication from them they are still reporting the debt the credit bureaus which the deadline for their day validation window not receive proper debt validation that proves they are legitimate owners the debt along with signed contract official document where stated taking the debt then would like the collection taken off all credit reports and stopped being pursued name right under the fair debt collections practices act fdcpa,83,5,3
I am writing to alert the Consumer Financial Protection Bureau of a collections company that is violating my rights and not using proper communication methods when showing up on my credit report. I need the CFPB office to please look into my case. This account has just popped up on my credit report without ever communicating to me. There was no written letter to me or calls to me so I can explain that they have the wrong person. They have recently just popped up on my credit report and I am not familiar with how they got my information or how they have my social security number. I do not owe this company {$2100.00}.,Debt collection,Attempts to collect debt not owed,ERC,12/15/2021,writing alert the consumer financial protection bureau collections company that violating rights and not using proper communication methods when showing credit report need the cfpb office please look into case this account has just popped credit report without ever communicating there was written letter calls can explain that they have the wrong person they have recently just popped credit report and not familiar with how they got information how they have social security number not owe this company,78,5,5
"Approx. XX/XX/XXXX I recieved a letter from ERC stating I owed over {$300.00} for a direct tv box that was not returned. This box was returned directly to an XXXX  tech in XX/XX/XXXX. In XX/XX/XXXX, I confirmed with XXXX   that this debt was not valid. I was told by an XXXX rep that the information would be in ERC 's system shortly and it was taken care of. Today, XX/XX/XXXX, I received a letter stating I owed them {$190.00} for the same issue. Again, I called XXXX and confirmed AGAIN that this debit was settled and the box was returned. I then called ERC. They claimed this was the first contact from them and att sent them the debt on XX/XX/XXXX. They claim they do now own this debt but are preparing to report the credit bureau in XX/XX/XXXX. I feel that I am being harassed by a less than honest debt collector. I have returned all equipment owned by XXXX and this has been confirmed TWICE by XXXX.",Debt collection,Attempts to collect debt not owed,ERC,7/18/2018,approx recieved letter from erc stating owed over for direct box that was not returned this box was returned directly tech confirmed with that this debt was not valid was told rep that the information would erc system shortly and was taken care today received letter stating owed them for the same issue again called and confirmed again that this debit was settled and the box was returned then called erc they claimed this was the first contact from them and att sent them the debt they claim they now own this debt but are preparing report the credit bureau feel that being harassed less than honest debt collector have returned all equipment owned and this has been confirmed twice,120,1,1
"Hello, I have been receiving weekly calls from a debt collection agency ( ERC ) regarding a debt owed by my ex-wife. I do not know what the debt is, or how much, yet they somehow have my phone number on file and continually call me asking for her. I have spoken with agents at the company multiple times, yet this keeps occurring. I also block the phone number used to contact me, yet they are still able to get through using a different number. This seems like pretty shady tactics to me. The most recent call took place at XXXX Thursday, XX/XX/20. The phone number used was ( XXXX ) XXXX. I will list other numbers they have used recently below : ( XXXX ) XXXX ( XXXX ) XXXX Please help to resolve this issue - I in no way am responsible for this yet I keep getting harassed. And on a personal note, Im glad someone brings up my divorce on a weekly basis I so I can relive all of that again - not only is this bad business practice but frankly it is disrespectful and insulting that this business is choosing not to respect me and my time or personal life experiences. 

Thank You, XXXX XXXX",Debt collection,Attempts to collect debt not owed,ERC,1/2/2020,hello have been receiving weekly calls from debt collection agency erc regarding debt owed wife not know what the debt how much yet they somehow have phone number file and continually call asking for her have spoken with agents the company multiple times yet this keeps occurring also block the phone number used contact yet they are still able get through using different number this seems like pretty shady tactics the most recent call took place thursday the phone number used was will list other numbers they have used recently below please help resolve this issue way responsible for this yet keep getting harassed and personal note glad someone brings divorce weekly basis can relive all that again not only this bad business practice but frankly disrespectful and insulting that this business choosing not respect and time personal life experiences thank you,142,3,1
